25-03-2024 23:34:48.062 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
25-03-2024 23:34:48.076 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStarting - Starting DevicestatusControllerTest using Java 17.0.10 with PID 514030 (started by alejandro in /home/alejandro/TFM/devicestatus)
25-03-2024 23:34:48.077 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
25-03-2024 23:34:49.328 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext.log - Initializing Spring TestDispatcherServlet ''
25-03-2024 23:34:49.329 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Initializing Servlet ''
25-03-2024 23:34:49.331 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Completed initialization in 0 ms
25-03-2024 23:34:49.346 [main] INFO  c.t.d.c.DevicestatusControllerTest.logStarted - Started DevicestatusControllerTest in 1.489 seconds (process running for 2.063)
25-03-2024 23:34:49.539 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.tfm.devicestatus.service.DevicestatusServiceTest]: DevicestatusServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
25-03-2024 23:34:49.550 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses - Found @SpringBootConfiguration com.tfm.devicestatus.DevicestatusApplication for test class com.tfm.devicestatus.service.DevicestatusServiceTest
25-03-2024 23:34:49.674 [main] INFO  c.t.d.s.DevicestatusServiceTest.logStarting - Starting DevicestatusServiceTest using Java 17.0.10 with PID 514030 (started by alejandro in /home/alejandro/TFM/devicestatus)
25-03-2024 23:34:49.675 [main] INFO  c.t.d.s.DevicestatusServiceTest.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
25-03-2024 23:34:50.130 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext.log - Initializing Spring TestDispatcherServlet ''
25-03-2024 23:34:50.130 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Initializing Servlet ''
25-03-2024 23:34:50.131 [main] INFO  o.s.t.w.s.TestDispatcherServlet.initServletBean - Completed initialization in 1 ms
